city,description
Addis-Ababa,Ethnological Museum
Addis-Ababa,National Museum
Addis-Ababa,'Red Terror' Martyrs Memorial Museum
Addis-Ababa,St George Cathedral & Museum
Addis-Ababa,Holy Trinity Cathedral
Addis-Ababa,Washa Mikael Church
Addis-Ababa,Merkato
Addis-Ababa,Lion of Judah Monument
Addis-Ababa,Bete Maryam Mausoleum
Addis-Ababa,Afewerk Tekle’s Home & Studio
Addis-Ababa,Derg Monument
Addis-Ababa,Institute of Ethiopian Studies
Addis-Ababa,Entoto Panoramic Viewpoint
Addis-Ababa,Africa Hall
Addis-Ababa,Yekatit 12 Monument
Addis-Ababa,Addis Ababa Museum
Addis-Ababa,Natural History Museum
Addis-Ababa,Entoto Maryam Church
Addis-Ababa,Entoto Maryam Museum
Addis-Ababa,Kidane Mehret Church
Addis-Ababa,National Archives & Library of Ethiopia
Addis-Ababa,Kiddus Mikael's Church
Addis-Ababa,Tomb of Sylvia Pankhurst
Addis-Ababa,Addis Ababa University
Addis-Ababa,Addis Ababa Park
Addis-Ababa,Jan Meda Sports Ground
Addis-Ababa,Presidential Palace
Addis-Ababa,"Set within Haile Selassie’s former palace, and surrounded by the beautiful gardens and fountains of the university’s main campus, is the enthralling…"
Addis-Ababa,"The collection on show at the National Museum is ranked among the most important in sub-Saharan Africa, but sadly many of its exhibits are poorly labelled…"
Addis-Ababa,"‘As if I bore them all in one night, they slew them in a single night.’ These were the words spoken by the mother of four teenage children all killed on…"
Addis-Ababa,"Commissioned by Emperor Menelik II to commemorate his stunning 1896 defeat of the Italians in Adwa, and dedicated to St George (Ethiopia’s patron saint),…"
Addis-Ababa,This massive and ornate cathedral is the second-most important place of worship in Ethiopia (ranking behind the Old Church of St Mary of Zion in Aksum)…
Addis-Ababa,"The Washa Mikael Church is a few kilometres east of Addis Ababa's town centre. Though local priests date it back to the 3rd century AD, it most probably…"
Addis-Ababa,"Wading into the market chaos known as Merkato, just west of Addis' centre, can be as rewarding as it is exasperating. You may find the most eloquent aroma…"
Addis-Ababa,"Long the symbol of Ethiopia’s monarchy, the Lion of Judah is ubiquitous throughout the country – and although images of the almighty animal abound in…"
Addis-Ababa,The Bete Maryam Mausoleum is located just south of Menelik’s palace and offers what could be an enchantingly eerie experience for travellers (were it not…
Addis-Ababa,"A member of several international academies and with a drawer full of international decorations – about 100 at last count, including the British Order of…"
Addis-Ababa,The towering Derg Monument is one of the more poignant reminders of the country’s painful communist rule. Topped by a massive red star and emblazoned with…
Addis-Ababa,"Inside the grounds of Addis Ababa University, this institute boasts the world’s best collection of books in English on Ethiopia. It’s free for a half-day…"
Addis-Ababa,"High on Entoto Mountain, there’s a terrific but windy panoramic view of Ethiopia's modern capital spread out below through the towering eucalyptus trees."
Addis-Ababa,"Built in 1961 by Emperor Haile Selassie, Africa Hall (near Meskal Sq) is the seat of the UN’s Economic Commission for Africa (ECA). The Italian-designed…"
