city,description
Addis-Ababa,Ethnological Museum
Addis-Ababa,National Museum
Addis-Ababa,'Red Terror' Martyrs Memorial Museum
Addis-Ababa,St George Cathedral & Museum
Addis-Ababa,Holy Trinity Cathedral
Addis-Ababa,Washa Mikael Church
Addis-Ababa,Merkato
Addis-Ababa,Lion of Judah Monument
Addis-Ababa,Bete Maryam Mausoleum
Addis-Ababa,Afewerk Tekle’s Home & Studio
Addis-Ababa,Derg Monument
Addis-Ababa,Institute of Ethiopian Studies
Addis-Ababa,Entoto Panoramic Viewpoint
Addis-Ababa,Africa Hall
Addis-Ababa,Yekatit 12 Monument
Addis-Ababa,Addis Ababa Museum
Addis-Ababa,Natural History Museum
Addis-Ababa,Entoto Maryam Church
Addis-Ababa,Entoto Maryam Museum
Addis-Ababa,Kidane Mehret Church
Addis-Ababa,National Archives & Library of Ethiopia
Addis-Ababa,Kiddus Mikael's Church
Addis-Ababa,Tomb of Sylvia Pankhurst
Addis-Ababa,Addis Ababa University
Addis-Ababa,Addis Ababa Park
Addis-Ababa,Jan Meda Sports Ground
Addis-Ababa,Presidential Palace
Addis-Ababa,Garden Fountain
Addis-Ababa,Set within Haile Selassie’s former palace and surrounded
Addis-Ababa,Walk Run
Addis-Ababa,Museum Park
Addis-Ababa,cold temrature nice view
Addis-Ababa,man made lake man made park
Addis-Ababa,rides a bick acros the city
Addis-Ababa,oldest Church 
Addis-Ababa,market place 
Addis-Ababa,Centeral city of Ethiopia
Addis-Ababa,African Union hall 
Addis-Ababa,man made park 
Addis-Ababa,hicking acros entoto moutain
Addis-Ababa,Animal like lion monky tiger
Addis-Ababa,zoo for some animal
Addis-Ababa,"Built in 1961 by Emperor Haile Selassie, Africa Hall "
Addis-Ababa,good weather 
Addis-Ababa,ethiopian nation nationality cermony 
Addis-Ababa,particular interest in Ethiopia's animals and birdlife
Addis-Ababa,The octagonal Entoto Maryam Church hosted Menelik’s
Addis-Ababa,"museum has the usual collection of royal garments, valuable coins, ceremonial drums"
Addis-Ababa,The unremarkable new church on this site
Addis-Ababa,"Shelves groan under the weight of 20,000 books on Ethiopia"
Addis-Ababa,africa's biggest roads race
Addis-Ababa,horse races
Addis-Ababa,Facing the entrance to the Holy Trinity Cathedral is the tomb of the famous British suffragette Sylvia Pankhurst
Addis-Ababa,Addis Ababa's expansive university is the country's largest and most prestigious
Addis-Ababa,A thin stand of greenery opposite the presidential palace
Addis-Ababa,"Stadium in the north of Addis Ababa, where major celebrations and horse races take place."
Addis-Ababa,adwa project
Addis-Ababa,Museum museum
Addis-Ababa,Church church
Addis-Ababa,Monument monument
Addis-Ababa,Market market
Addis-Ababa,University university
Addis-Ababa,Palace palace
Addis-Ababa,Meskel cermony
Addis-Ababa,Hall hall
Jimma,Cultural Festival
Jimma,Aba Jifar
Jimma,Coffe Culture
Jimma,religion
Jimma,traditional music and dance
Jimma,historical landmarks
Jimma,best time is october to february
